"EC","AS000001","SHL","Shell","SESM","-1.5047222375869751","-78.063331604003906","3415","12-20","1Paved","1500","25","1"
"EC","AS000002","MNT","Montalvo","SEMO","-2.0671665668487549","-76.976165771484375","1000","08/26","1asphalt","1480","24","0","0"
"EC","AS000004","MAK","Makuma","SEAK","-2.1458332538604736","-77.699501037597656","2200","08/26","2dirt,","gravel,","grass","1013","10","0%","0"
"EC","AS000005","CPZ","Copataza","SEOZ","-2.0911667346954346","-77.446334838867188","1500","14/32","1Dirt","650","29","0%","0"
"EC","AS000006","ACA","Acado","SEAC","-1.3975000381469727","-77.198997497558594","1100","11/29","3Dirt/Grass","434","11","1%","0"
"EC","AS000007","ATS","Achuar","SEAT","-2.0246667861938477","-77.467330932617188","1450","13/31","3Dirt/Clay","600","19","0","0"
"EC","AS000008","ACR","Alto","Corrientes","SEOC","-1.9099999666213989","-76.959503173828125","1150","18/36","IDirt/grass","425","16","1","0"
"EC","AS000009","AMB","Ambato","SEAM","-1.2071666717529297","-78.571502685546875","8500","10/19","1asphalt","1925","25","2%","0"
"EC","AS000010","ATA","Atacapi","SEXP","-1.3539999723434448","-77.622169494628906","1600","04/22","IDirt","480","44","0","0"
"EC","AS000011","AYU","Ayuy","SEYY","-2.0829999446868896","-77.580665588378906","1950","09/27","ISod","800","20","0","0"
"EC","AS000012","BAL","Balzaura","SEBL","-1.9455000162124634","-76.305831909179688","750","04/22","3Grass","550","17","0","0"
"EC","AS000013","BUF","Bufeo","SEBU","-2.1914999485015869","-76.783836364746094","1100","09/27","IDirt","496","17","0","0"
"EC","AS000014","SAR","Sarayaku","SERY","-1.7376666069030762","-77.486831665039063","1300","14/32","2Gravel/grass","520","13","0%","0"
"EC","AS000015","MSR","Masaramu","SERM","-1.7463333606719971","-77.099166870117187","1100","11/29","3Grass","578","11","0%","0"
"EC","AS000017","MKR","Makusar","SEMV","-2.3668334484100342","-76.51300048828125","900","15/33","3Dirt","448","18","0%","0"
"EC","AS000018","YUT","Yutsuntz","SEYT","-2.3513333797454834","-76.451667785644531","900","06/24","3Clay","367","21","0","0"
"EC","AS000019","LLA","Llanchamacocha","SENH","-1.6278332471847534","-77.302833557128906","1350","13/31","3Grass","466","14","0%","0"
"EC","AS000020","TMP","Toampade","SEOR","-1.218999981880188","-77.384002685546875","1220","08/26","2Grass/Dirt","600","20","0%","0"
"EC","AS000021","UYU","Uyuimi","SEUY","-1.8333333730697632","-77.680000305175781","1500","10/28","3Grass/Dirt","500","30","0%","0"
"EC","AS000022","SCL","San","Carlos","SESS","-2.0558333396911621","-77.590164184570313","1700","14/32","3Grass/Gravel","550","15","1%","0"
"EC","AS000023","MRT","Moretecocha","SERC","-1.5833333730697632","-77.411834716796875","1475","15/33","2Grass/Gravel","615","15","1%","0"
"EC","AS000024","MSH","Mashient","SEHE","-2.1591665744781494","-77.322669982910156","1200","13/31","2Sandy","dirt","512","25","0%","0"
"EC","AS000025","IWI","Iwia","SEIW","-2.0716667175292969","-77.523330688476562","1500","12/30","3Black","sand","510","23","0%","0"
"EC","AS000026","TOR","Torimbo","SERV","-1.8736666440963745","-76.773834228515625","900","14/32","3Dirt/Grass","408","10","1%","0"
"EC","AS000027","CHT","Chichirota","SEHT","-2.3826665878295898","-76.658164978027344","900","13/31","3Clay/grass","582","20","0%","0"
"EC","AS000029","SHA","Sharamentza","SEAW","-2.4630000591278076","-76.992996215820312","1000","10/28","2Dirt","710","17","0%","0"
"EC","AS000030","WAY","Wayusentza","SEWY","-2.4418332576751709","-76.916831970214844","950","14/32","2Dirt","660","26","1%","0"
"EC","AS000031","KPN","Kapirna","SEIR","-2.2199165821075439","-76.8140869140625","1000","12/31","2dirt/grass","590","20","0%","0"
"EC","AS000033","CHD","Chuindia","SEHU","-2.0125000476837158","-76.6788330078125","900","15/33","3Dirt/Grass","465","18","0%","0"
"EC","AS000039","CNG","Cangaime","SENG","-2.314500093460083","-77.665000915527344","2000","16/34","2Dirt","655","25","2%","0"
"EC","AS000042","CAN","Canusa","Nuevo","SENB","-2.4000000953674316","-77.737503051757813","1100","08/26","3Dirt","470","26","","0"
"EC","AS000043","CAP","Capahuari","SEPH","-2.067833423614502","-77.175163269042969","1200","14/32","2Dirt","605","25","0"
"EC","AS000044","CHK","Chankuap","SECK","-2.2401666641235352","-77.459503173828125","1500","12/30","2Dirt","800","25","0"
"EC","AS000045","CHP","Chapintza","SENZ","-1.9904999732971191","-77.715667724609375","2150","11/29","3Dirt","480","15","2%","0"
"EC","AS000046","CHR","Charapacocha","SERP","-2.3228332996368408","-77.088996887207031","1100","12/30","2Dirt","720","35","0%","0"
"EC","AS000047","CHS","Charusa","SERU","-2.2916667461395264","-77.680496215820312","1900","01/19","3Grass","390","15","1%","0"
"EC","AS000048","CAU","Chau","SEAU","-2.8248333930969238","-77.77166748046875","1000","18/36","3Grass","400","20","0"
"EC","AS000049","CRN","Chiarentza","SERZ","-2.3538334369659424","-77.406501770019531","1200","10/28","2Dirt","500","20","0"
"EC","AS000050","CHN","Chinkianentza","SENN","-2.3664999008178711","-77.31500244140625","1100","10/28","1Dirt","1000","30","0"
